year,source_target,neighbor_target,similarity_score,rank
2019,2019_tarov1907148739,2019_tarov1943130319,0.6804769039154053,1
2019,2019_tarov1907148739,2019_tarov1939074175,0.6641070246696472,2
2019,2019_tarov1907148739,2019_tarov1943155111,0.636737585067749,3
2019,2019_tarov1907148739,2019_tarov1943132445,0.6185129880905151,4
2019,2019_tarov1907148739,2019_tarov1943097171,0.6029655337333679,5
2019,2019_tarov1907148739,2019_tarov1943119988,0.5987704992294312,6
2019,2019_tarov1907148739,2019_tarov1943119985,0.5711911916732788,7
2019,2019_tarov1907148739,2019_tarov1943117547,0.5612602233886719,8
2019,2019_tarov1907148739,2019_tarov1943094681,0.54620361328125,9
2019,2019_tarov1907148739,2019_tarov1943155110,0.5356200337409973,10
2019,2019_tarov1907168753,2019_tarov1943158147,0.8634535670280457,1
2019,2019_tarov1907168753,2019_tarov1941208285,0.7718119621276855,2
2019,2019_tarov1907168753,2019_tarov1943148859,0.7673278450965881,3
2019,2019_tarov1907168753,2019_tarov1943124784,0.7401418685913086,4
2019,2019_tarov1907168753,2019_tarov1943143715,0.6945406794548035,5
2019,2019_tarov1907168753,2019_tarov1943126658,0.6881972551345825,6
2019,2019_tarov1907168753,2019_tarov1943142550,0.6829150319099426,7
2019,2019_tarov1907168753,2019_tarov1943141472,0.6764162182807922,8
2019,2019_tarov1907168753,2019_tarov1943097052,0.6667852401733398,9
2019,2019_tarov1907168753,2019_tarov1943120158,0.6575750708580017,10
2019,2019_tarov1907210749,2019_tarov1943115454,0.9010151624679565,1
2019,2019_tarov1907210749,2019_tarov1943146539,0.7834374308586121,2
2019,2019_tarov1907210749,2019_tarov1943104031,0.7713021039962769,3
2019,2019_tarov1907210749,2019_tarov1943131262,0.759128987789154,4
2019,2019_tarov1907210749,2019_tarov1943143369,0.7543886303901672,5
2019,2019_tarov1907210749,2019_tarov1943101769,0.7484423518180847,6
2019,2019_tarov1907210749,2019_tarov1943105273,0.69595867395401,7
2019,2019_tarov1907210749,2019_tarov1943136631,0.6933577060699463,8
2019,2019_tarov1907210749,2019_tarov1941192312,0.6863889098167419,9
