year,source_target,neighbor_target,similarity_score,rank
2017,2017_tarov1907053736,2017_tarov1909552377,0.5472917556762695,1
2017,2017_tarov1907053736,2017_tarov1907101393,0.5224313735961914,2
2017,2017_tarov1907053736,2017_tarov1909541524,0.4989616572856903,3
2017,2017_tarov1907053736,2017_tarov1907200378,0.4615539014339447,4
2017,2017_tarov1907053736,2017_tarov1907217732,0.4521745443344116,5
2017,2017_tarov1907053736,2017_tarov1909601610,0.44550368189811707,6
2017,2017_tarov1907053736,2017_tarov1907251073,0.44522449374198914,7
2017,2017_tarov1907053736,2017_tarov1909542385,0.4427696466445923,8
2017,2017_tarov1907053736,2017_tarov1943016866,0.4408172369003296,9
2017,2017_tarov1907053736,2017_tarov1907234528,0.43923309445381165,10
2017,2017_tarov1907101393,2017_tarov1907248328,0.6158673763275146,1
2017,2017_tarov1907101393,2017_tarov1907205540,0.6052759289741516,2
2017,2017_tarov1907101393,2017_tarov1907239389,0.5963241457939148,3
2017,2017_tarov1907101393,2017_tarov1943028479,0.5962525606155396,4
2017,2017_tarov1907101393,2017_tarov1907210559,0.5909661054611206,5
2017,2017_tarov1907101393,2017_tarov1907223192,0.588443398475647,6
2017,2017_tarov1907101393,2017_tarov1907249787,0.5542810559272766,7
2017,2017_tarov1907101393,2017_tarov1907242376,0.5506992340087891,8
2017,2017_tarov1907101393,2017_tarov1907239979,0.531895101070404,9
2017,2017_tarov1907101393,2017_tarov1907053736,0.5224313735961914,10
2017,2017_tarov1907119127,2017_tarov1909512325,0.6734915971755981,1
2017,2017_tarov1907119127,2017_tarov1909627399,0.5779444575309753,2
2017,2017_tarov1907119127,2017_tarov1907248133,0.5773641467094421,3
2017,2017_tarov1907119127,2017_tarov1907211192,0.5482386946678162,4
2017,2017_tarov1907119127,2017_tarov1941219030,0.5091654658317566,5
2017,2017_tarov1907119127,2017_tarov1907249550,0.5088071227073669,6
2017,2017_tarov1907119127,2017_tarov1907216285,0.5029851794242859,7
2017,2017_tarov1907119127,2017_tarov1909599484,0.4998731017112732,8
2017,2017_tarov1907119127,2017_tarov1907231832,0.4746277630329132,9
2017,2017_tarov1907119127,2017_tarov1907206147,0.4714723825454712,10
2017,2017_tarov1907140305,2017_tarov1907211741,0.673856258392334,1
2017,2017_tarov1907140305,2017_tarov1907233097,0.6686172485351562,2
2017,2017_tarov1907140305,2017_tarov1907210746,0.6594995260238647,3
2017,2017_tarov1907140305,2017_tarov1907203425,0.6339746117591858,4
2017,2017_tarov1907140305,2017_tarov1907192796,0.6254782676696777,5
2017,2017_tarov1907140305,2017_tarov1907231803,0.6007425785064697,6
2017,2017_tarov1907140305,2017_tarov1907206917,0.5892181992530823,7
2017,2017_tarov1907140305,2017_tarov1907233170,0.5752037167549133,8
2017,2017_tarov1907140305,2017_tarov1941008815,0.574978768825531,9
2017,2017_tarov1907140305,2017_tarov1907167135,0.5712753534317017,10
2017,2017_tarov1907144940,2017_tarov1907207380,0.820070743560791,1
2017,2017_tarov1907144940,2017_tarov1907196594,0.7473676204681396,2
2017,2017_tarov1907144940,2017_tarov1909651791,0.6156356930732727,3
2017,2017_tarov1907144940,2017_tarov1907237413,0.5945612192153931,4
2017,2017_tarov1907144940,2017_tarov1909636494,0.5843047499656677,5
2017,2017_tarov1907144940,2017_tarov1907237382,0.5783540606498718,6
2017,2017_tarov1907144940,2017_tarov1907203844,0.5661192536354065,7
2017,2017_tarov1907144940,2017_tarov1909598280,0.5554894804954529,8
2017,2017_tarov1907144940,2017_tarov1907243000,0.5546579360961914,9
2017,2017_tarov1907144940,2017_tarov1909602189,0.5514580607414246,10
2017,2017_tarov1907145062,2017_tarov1941013502,0.5894995331764221,1
2017,2017_tarov1907145062,2017_tarov1943026065,0.5556767582893372,2
2017,2017_tarov1907145062,2017_tarov1907201042,0.5303530097007751,3
2017,2017_tarov1907145062,2017_tarov1909587402,0.4956417977809906,4
2017,2017_tarov1907145062,2017_tarov1907250721,0.4750356674194336,5
2017,2017_tarov1907145062,2017_tarov1909572811,0.47209981083869934,6
2017,2017_tarov1907145062,2017_tarov1907243554,0.4661214053630829,7
2017,2017_tarov1907145062,2017_tarov1907204698,0.4634275734424591,8
2017,2017_tarov1907145062,2017_tarov1909604913,0.4463125765323639,9
2017,2017_tarov1907145062,2017_tarov1907200093,0.42297840118408203,10
2017,2017_tarov1907145737,2017_tarov1907240819,0.5023939609527588,1
2017,2017_tarov1907145737,2017_tarov1907191514,0.49638545513153076,2
2017,2017_tarov1907145737,2017_tarov1907214242,0.48107364773750305,3
2017,2017_tarov1907145737,2017_tarov1941005183,0.45941513776779175,4
2017,2017_tarov1907145737,2017_tarov1907225104,0.45200082659721375,5
2017,2017_tarov1907145737,2017_tarov1941005194,0.4320293366909027,6
2017,2017_tarov1907145737,2017_tarov1909618452,0.4303293824195862,7
2017,2017_tarov1907145737,2017_tarov1943024736,0.41405630111694336,8
2017,2017_tarov1907145737,2017_tarov1909544702,0.40530604124069214,9
2017,2017_tarov1907145737,2017_tarov1907174285,0.4044955372810364,10
2017,2017_tarov1907157690,2017_tarov1941005362,0.8914970755577087,1
2017,2017_tarov1907157690,2017_tarov1909561794,0.889218270778656,2
2017,2017_tarov1907157690,2017_tarov1943005660,0.8871241211891174,3
2017,2017_tarov1907157690,2017_tarov1943005662,0.8850956559181213,4
2017,2017_tarov1907157690,2017_tarov1907249447,0.8848435878753662,5
2017,2017_tarov1907157690,2017_tarov1909598280,0.8848126530647278,6
2017,2017_tarov1907157690,2017_tarov1907242461,0.8811081647872925,7
