year,source_target,neighbor_target,similarity_score,rank
2000,2000_tarov102852,2000_tarov64729,0.6897394061088562,1
2000,2000_tarov102852,2000_tarov91172,0.6720477342605591,2
2000,2000_tarov102852,2000_tarov58716,0.6655755043029785,3
2000,2000_tarov102852,2000_tarov73256,0.659855842590332,4
2000,2000_tarov102852,2000_tarov77805,0.642231822013855,5
2000,2000_tarov102852,2000_tarov58190,0.6245999336242676,6
2000,2000_tarov102852,2000_tarov67157,0.6087468862533569,7
2000,2000_tarov102852,2000_tarov109179,0.6079524159431458,8
2000,2000_tarov102852,2000_tarov80488,0.6076881289482117,9
2000,2000_tarov102852,2000_tarov62473,0.6005859375,10
2000,2000_tarov103907,2000_tarov135337,0.5399224162101746,1
2000,2000_tarov103907,2000_tarov68670,0.5360622406005859,2
2000,2000_tarov103907,2000_tarov127514,0.5312947630882263,3
2000,2000_tarov103907,2000_tarov186533,0.5273724794387817,4
2000,2000_tarov103907,2000_tarov74989,0.5121954679489136,5
2000,2000_tarov103907,2000_tarov72729,0.508837103843689,6
2000,2000_tarov103907,2000_tarov69564,0.5036784410476685,7
2000,2000_tarov103907,2000_tarov62309,0.5019215941429138,8
2000,2000_tarov103907,2000_tarov66858,0.47635388374328613,9
2000,2000_tarov103907,2000_tarov62050,0.4545222520828247,10
2000,2000_tarov104623,2000_tarov77027,0.6139689683914185,1
2000,2000_tarov104623,2000_tarov187416,0.6002553701400757,2
2000,2000_tarov104623,2000_tarov61027,0.5908232927322388,3
2000,2000_tarov104623,2000_tarov73487,0.5745341777801514,4
2000,2000_tarov104623,2000_tarov73161,0.5703408122062683,5
2000,2000_tarov104623,2000_tarov93409,0.5668891668319702,6
2000,2000_tarov104623,2000_tarov69119,0.5406146049499512,7
2000,2000_tarov104623,2000_tarov140036,0.5389450788497925,8
2000,2000_tarov104623,2000_tarov128173,0.5079724788665771,9
2000,2000_tarov104623,2000_tarov106951,0.505771815776825,10
2000,2000_tarov106951,2000_tarov77927,0.7384836673736572,1
2000,2000_tarov106951,2000_tarov77109,0.6559351086616516,2
2000,2000_tarov106951,2000_tarov67661,0.6536394953727722,3
2000,2000_tarov106951,2000_tarov127334,0.6130145192146301,4
2000,2000_tarov106951,2000_tarov203267,0.6122997403144836,5
2000,2000_tarov106951,2000_tarov67761,0.5485196113586426,6
2000,2000_tarov106951,2000_tarov74574,0.5417802333831787,7
2000,2000_tarov106951,2000_tarov80565,0.5276727080345154,8
2000,2000_tarov106951,2000_tarov73500,0.5160491466522217,9
2000,2000_tarov106951,2000_tarov72272,0.5060722231864929,10
2000,2000_tarov108278,2000_tarov186147,0.6857662796974182,1
2000,2000_tarov108278,2000_tarov70404,0.6722185015678406,2
2000,2000_tarov108278,2000_tarov93409,0.621383786201477,3
2000,2000_tarov108278,2000_tarov127870,0.5958861112594604,4
2000,2000_tarov108278,2000_tarov62326,0.5937983989715576,5
2000,2000_tarov108278,2000_tarov64880,0.5930556058883667,6
2000,2000_tarov108278,2000_tarov59185,0.59256511926651,7
2000,2000_tarov108278,2000_tarov74989,0.59056556224823,8
2000,2000_tarov108278,2000_tarov57325,0.5623775720596313,9
2000,2000_tarov108278,2000_tarov128336,0.5522361397743225,10
2000,2000_tarov109179,2000_tarov97131,0.7130417227745056,1
2000,2000_tarov109179,2000_tarov77954,0.6560438871383667,2
2000,2000_tarov109179,2000_tarov80439,0.6511965990066528,3
2000,2000_tarov109179,2000_tarov78379,0.6453468203544617,4
2000,2000_tarov109179,2000_tarov60347,0.6447795629501343,5
2000,2000_tarov109179,2000_tarov67200,0.6383832693099976,6
2000,2000_tarov109179,2000_tarov73381,0.6319522261619568,7
2000,2000_tarov109179,2000_tarov390775,0.6224414706230164,8
2000,2000_tarov109179,2000_tarov56216,0.622295081615448,9
2000,2000_tarov109179,2000_tarov72639,0.6172389388084412,10
2000,2000_tarov109218,2000_tarov193258,0.8123090863227844,1
2000,2000_tarov109218,2000_tarov94155,0.804361879825592,2
2000,2000_tarov109218,2000_tarov91856,0.7857702374458313,3
2000,2000_tarov109218,2000_tarov189281,0.7836298942565918,4
2000,2000_tarov109218,2000_tarov187225,0.7828141450881958,5
2000,2000_tarov109218,2000_tarov185096,0.7774900794029236,6
2000,2000_tarov109218,2000_tarov62008,0.7734920382499695,7
2000,2000_tarov109218,2000_tarov188425,0.7707982063293457,8
2000,2000_tarov109218,2000_tarov97928,0.6873274445533752,9
2000,2000_tarov109218,2000_tarov61015,0.6231369972229004,10
2000,2000_tarov109395,2000_tarov127334,0.7271623611450195,1
2000,2000_tarov109395,2000_tarov66858,0.5909430384635925,2
2000,2000_tarov109395,2000_tarov128316,0.5847632884979248,3
2000,2000_tarov109395,2000_tarov61939,0.5776735544204712,4
2000,2000_tarov109395,2000_tarov55572,0.5664526224136353,5
2000,2000_tarov109395,2000_tarov68404,0.565126895904541,6
2000,2000_tarov109395,2000_tarov65951,0.5337778925895691,7
2000,2000_tarov109395,2000_tarov73172,0.5332088470458984,8
2000,2000_tarov109395,2000_tarov67112,0.5223303437232971,9
2000,2000_tarov109395,2000_tarov75869,0.5221821665763855,10
2000,2000_tarov127334,2000_tarov109395,0.7271623611450195,1
2000,2000_tarov127334,2000_tarov187160,0.7212390303611755,2
2000,2000_tarov127334,2000_tarov91833,0.6696344017982483,3
2000,2000_tarov127334,2000_tarov61939,0.6334743499755859,4
2000,2000_tarov127334,2000_tarov323913,0.6305692791938782,5
2000,2000_tarov127334,2000_tarov77927,0.614931583404541,6
2000,2000_tarov127334,2000_tarov106951,0.6130145192146301,7
2000,2000_tarov127334,2000_tarov74456,0.6092715263366699,8
2000,2000_tarov127334,2000_tarov68279,0.6077921986579895,9
2000,2000_tarov127334,2000_tarov78412,0.6058593392372131,10
2000,2000_tarov127514,2000_tarov98595,0.627835214138031,1
2000,2000_tarov127514,2000_tarov56919,0.617913544178009,2
2000,2000_tarov127514,2000_tarov64317,0.6046456098556519,3
2000,2000_tarov127514,2000_tarov62012,0.5656014680862427,4
2000,2000_tarov127514,2000_tarov64965,0.5571569800376892,5
