year,target_id,mean_similarity,max_similarity,min_similarity,std_similarity,num_similar_targets,network_degree
1996,1996_tarov133862,0.20246929563329738,0.9999999999999971,0.02323069967623409,0.326473563813929,7,7
1996,1996_tarov133881,0.20246929563329738,0.9999999999999971,0.02323069967623409,0.326473563813929,7,7
1996,1996_tarov134406,0.21223377744520341,1.0000000000000007,0.049809764687537395,0.3219498136449051,7,7
1996,1996_tarov134475,0.21223377744520341,1.0000000000000007,0.049809764687537395,0.3219498136449051,7,7
1996,1996_tarov134830,0.07665935287342951,0.0943683227251166,0.03792670540316915,0.017224437742231865,7,7
1996,1996_tarov135724,0.08945119012054574,0.10327955589886446,0.06561645888208933,0.014191286923776135,7,7
1996,1996_tarov135834,0.047599081668029564,0.06561645888208933,0.03792670540316915,0.008587152596285697,7,7
1996,1996_tarov138632,0.053755930595759095,0.07592566023652966,0.02323069967623409,0.022630069582772982,7,7
1997,1997_tarov103334,0.1484565898586624,0.8815770975722383,0.040874910638367026,0.16309713007414559,69,69
1997,1997_tarov103560,0.09642552319875408,0.1632738066460339,0.03724917968897285,0.027665355193865045,69,69
1997,1997_tarov104017,0.15020628162308985,0.406036117272546,0.0543348102875866,0.062219546037757256,69,69
1997,1997_tarov107121,0.09087500762129443,0.1616257534542731,0.04646531759963542,0.02566702562193273,69,69
1997,1997_tarov107123,0.10377791881267777,0.48369487974649567,0.0298142396999972,0.054271978658090574,69,69
1997,1997_tarov108366,0.0918720878753639,0.22213759514949266,0.04189917572038665,0.03619648452274663,69,69
1997,1997_tarov109027,0.07703282295691799,0.13156882396410768,0.03193115966799965,0.021976101824306107,69,69
1997,1997_tarov109031,0.12589030396388284,0.26089240727343616,0.05813183589761799,0.048289591636107715,69,69
1997,1997_tarov112475,0.1456613438830194,0.8360796171499401,0.021911239623763755,0.1586206895079401,69,69
1997,1997_tarov133998,0.10283934180944368,0.20412414523193154,0.049104637582399135,0.03308408486918302,69,69
1997,1997_tarov135641,0.15047583773470818,0.2974059387397314,0.06444909926971092,0.061193234524530356,69,69
1997,1997_tarov137115,0.06791185975574246,0.11424484790272652,0.02533538006430885,0.01873555546019381,69,69
1997,1997_tarov137319,0.08708519701380892,0.18233692233542073,0.02657887169768753,0.030507064804724933,69,69
1997,1997_tarov138427,0.08589288838637507,0.15357660899224174,0.04009376869372402,0.024495216405556172,69,69
1997,1997_tarov138515,0.07462508443433444,0.1401246349870906,0.03846865240564102,0.022871320842130602,69,69
1997,1997_tarov139100,0.11045250466435795,0.4058331485532074,0.03830602342540458,0.055874639540396995,69,69
1997,1997_tarov139245,0.12295752937919123,0.25120489794492634,0.05494173770805823,0.04209095196810563,69,69
1997,1997_tarov139278,0.07272219344405015,0.14250148136876245,0.03429579453121805,0.025763002134061252,69,69
1997,1997_tarov139413,0.10384857731908739,0.17169192470840522,0.0420540373583895,0.03006656742810531,69,69
1997,1997_tarov139523,0.14893185601978998,0.8815770975722383,0.04210759605332595,0.16477411164854933,69,69
1997,1997_tarov139583,0.1485239958208399,0.2876861795312677,0.06249237200216845,0.056234003655447444,69,69
1997,1997_tarov139634,0.10096832909601253,0.1897813192928703,0.04405042974999805,0.03276052557415613,69,69
1997,1997_tarov139939,0.12590062713900646,0.8062593696701654,0.04056336199961562,0.10184398242791648,69,69
1997,1997_tarov139957,0.09418211439114152,0.999999999999999,0.038053841464597095,0.11930550390686949,69,69
1997,1997_tarov139990,0.08009903055770906,0.14691375911784224,0.03771236166328253,0.02999835135315201,69,69
1997,1997_tarov140840,0.1166238096525989,0.20238095238095247,0.06274558051381585,0.03127101767523117,69,69
1997,1997_tarov140975,0.09889658160234659,0.9999999999999976,0.03369315075732278,0.1119477457787124,69,69
1997,1997_tarov141192,0.13053652849171424,0.27521729413679974,0.05268372557558353,0.04525572242358862,69,69
1997,1997_tarov141235,0.12416554441477146,0.48546803643764025,0.04650777812717435,0.11307619533621838,69,69
1997,1997_tarov141384,0.08707911632104705,0.22057470084576483,0.03411211461689767,0.032840964547979606,69,69
1997,1997_tarov141432,0.09956566856817542,0.31773502533278225,0.038960012241237775,0.05291875307870233,69,69
1997,1997_tarov141450,0.0908357293620344,0.19211684257122966,0.04428074427700477,0.029487778912944254,69,69
1997,1997_tarov141566,0.14352674906169605,0.7460604429355304,0.056256867712619445,0.0875759382049314,69,69
1997,1997_tarov141991,0.09350843286104969,0.21087527060025535,0.04504870144710027,0.03360614921630476,69,69
1997,1997_tarov142138,0.0921069047375922,0.16180142969173936,0.05199314567548143,0.02367135433871544,69,69
