year,source_target,neighbor_target,similarity_score,rank
2015,2015_tarov1601304086,2015_tarov1909218624,0.5236387848854065,1
2015,2015_tarov1601304086,2015_tarov1907107292,0.453471302986145,2
2015,2015_tarov1601304086,2015_tarov1909286976,0.4503525495529175,3
2015,2015_tarov1601304086,2015_tarov1909251173,0.43775609135627747,4
2015,2015_tarov1601304086,2015_tarov1907093223,0.4249253273010254,5
2015,2015_tarov1601304086,2015_tarov1633120754,0.418841153383255,6
2015,2015_tarov1601304086,2015_tarov1907130856,0.41833752393722534,7
2015,2015_tarov1601304086,2015_tarov1907131663,0.4164074957370758,8
2015,2015_tarov1601304086,2015_tarov1907121921,0.4129519462585449,9
2015,2015_tarov1601304086,2015_tarov1907168100,0.4101093113422394,10
2015,2015_tarov1601393452,2015_tarov1907104185,0.7881686091423035,1
2015,2015_tarov1601393452,2015_tarov1909262603,0.6046894788742065,2
2015,2015_tarov1601393452,2015_tarov1907132049,0.6010304689407349,3
2015,2015_tarov1601393452,2015_tarov1907100487,0.5911554098129272,4
2015,2015_tarov1601393452,2015_tarov1907121056,0.570091724395752,5
2015,2015_tarov1601393452,2015_tarov1909270669,0.5580580234527588,6
2015,2015_tarov1601393452,2015_tarov1907095365,0.5275436043739319,7
2015,2015_tarov1601393452,2015_tarov1909161900,0.5064695477485657,8
2015,2015_tarov1601393452,2015_tarov1909204826,0.499433308839798,9
2015,2015_tarov1601393452,2015_tarov1909196127,0.49364060163497925,10
2015,2015_tarov1601396419,2015_tarov1909168599,0.9768389463424683,1
2015,2015_tarov1601396419,2015_tarov1909245622,0.9762939214706421,2
2015,2015_tarov1601396419,2015_tarov1909306223,0.9749079942703247,3
2015,2015_tarov1601396419,2015_tarov1907129454,0.9734843969345093,4
2015,2015_tarov1601396419,2015_tarov1907099974,0.9728673100471497,5
2015,2015_tarov1601396419,2015_tarov1909248613,0.9705923795700073,6
2015,2015_tarov1601396419,2015_tarov1907139562,0.967664897441864,7
2015,2015_tarov1601396419,2015_tarov1909243869,0.9665423035621643,8
2015,2015_tarov1601396419,2015_tarov1907127027,0.9639622569084167,9
2015,2015_tarov1601396419,2015_tarov1909158951,0.952239990234375,10
2015,2015_tarov1601400451,2015_tarov1907133969,0.48583370447158813,1
2015,2015_tarov1601400451,2015_tarov1907142941,0.47310471534729004,2
2015,2015_tarov1601400451,2015_tarov1941474568,0.4289073944091797,3
2015,2015_tarov1601400451,2015_tarov1909259021,0.4169340133666992,4
2015,2015_tarov1601400451,2015_tarov1907094628,0.4159483015537262,5
2015,2015_tarov1601400451,2015_tarov1907090698,0.4093543291091919,6
2015,2015_tarov1601400451,2015_tarov1907130393,0.40598636865615845,7
2015,2015_tarov1601400451,2015_tarov1909199993,0.40121427178382874,8
2015,2015_tarov1601400451,2015_tarov1907110337,0.39668795466423035,9
2015,2015_tarov1601400451,2015_tarov1907134399,0.3937525153160095,10
2015,2015_tarov1601434876,2015_tarov1907101760,0.5450505614280701,1
2015,2015_tarov1601434876,2015_tarov1907122057,0.5219874978065491,2
2015,2015_tarov1601434876,2015_tarov1909289766,0.5017828345298767,3
2015,2015_tarov1601434876,2015_tarov1909158951,0.4913478195667267,4
2015,2015_tarov1601434876,2015_tarov1909203906,0.4812050461769104,5
2015,2015_tarov1601434876,2015_tarov1907111340,0.47932323813438416,6
2015,2015_tarov1601434876,2015_tarov1907090607,0.46640464663505554,7
2015,2015_tarov1601434876,2015_tarov1909245575,0.4647696316242218,8
2015,2015_tarov1601434876,2015_tarov1909294400,0.46305906772613525,9
2015,2015_tarov1601434876,2015_tarov1909204409,0.4499618113040924,10
2015,2015_tarov1601447434,2015_tarov1907090607,0.8233442902565002,1
2015,2015_tarov1601447434,2015_tarov1909277176,0.7721803188323975,2
2015,2015_tarov1601447434,2015_tarov1907104314,0.7476184964179993,3
2015,2015_tarov1601447434,2015_tarov1909233041,0.7270466089248657,4
2015,2015_tarov1601447434,2015_tarov1907127168,0.5340012311935425,5
2015,2015_tarov1601447434,2015_tarov1909312039,0.5221330523490906,6
2015,2015_tarov1601447434,2015_tarov1601396419,0.5051910281181335,7
2015,2015_tarov1601447434,2015_tarov1907097084,0.5046173930168152,8
2015,2015_tarov1601447434,2015_tarov1907127027,0.4949701726436615,9
2015,2015_tarov1601447434,2015_tarov1907101544,0.4916384518146515,10
2015,2015_tarov1601454896,2015_tarov1907126072,0.5768898129463196,1
2015,2015_tarov1601454896,2015_tarov1909288829,0.5272026658058167,2
2015,2015_tarov1601454896,2015_tarov1909298049,0.5182368755340576,3
2015,2015_tarov1601454896,2015_tarov1941541026,0.509296178817749,4
2015,2015_tarov1601454896,2015_tarov1907126075,0.5056062936782837,5
2015,2015_tarov1601454896,2015_tarov1907126909,0.4921605587005615,6
2015,2015_tarov1601454896,2015_tarov1907139639,0.48740440607070923,7
2015,2015_tarov1601454896,2015_tarov1909240146,0.47721928358078003,8
2015,2015_tarov1601454896,2015_tarov1909199586,0.44793251156806946,9
2015,2015_tarov1601454896,2015_tarov1909247876,0.44677409529685974,10
2015,2015_tarov1633120754,2015_tarov1907108773,0.6291909217834473,1
2015,2015_tarov1633120754,2015_tarov1907133416,0.6054844856262207,2
2015,2015_tarov1633120754,2015_tarov1909210198,0.6042614579200745,3
2015,2015_tarov1633120754,2015_tarov1907102384,0.6016499400138855,4
2015,2015_tarov1633120754,2015_tarov1909183303,0.6014139652252197,5
2015,2015_tarov1633120754,2015_tarov1907133417,0.6003196835517883,6
2015,2015_tarov1633120754,2015_tarov1941541026,0.5842995643615723,7
2015,2015_tarov1633120754,2015_tarov1907100836,0.5500221252441406,8
2015,2015_tarov1633120754,2015_tarov1907124509,0.5350586175918579,9
2015,2015_tarov1633120754,2015_tarov1907091070,0.5333600640296936,10
2015,2015_tarov1907038195,2015_tarov1907093931,0.5284147262573242,1
2015,2015_tarov1907038195,2015_tarov1909312867,0.47313693165779114,2
2015,2015_tarov1907038195,2015_tarov1907130856,0.4659169316291809,3
2015,2015_tarov1907038195,2015_tarov1909320232,0.4567107856273651,4
2015,2015_tarov1907038195,2015_tarov1907114937,0.4231705963611603,5
2015,2015_tarov1907038195,2015_tarov1907123583,0.4160660207271576,6
2015,2015_tarov1907038195,2015_tarov1909291300,0.40858155488967896,7
2015,2015_tarov1907038195,2015_tarov1907117447,0.40592482686042786,8
2015,2015_tarov1907038195,2015_tarov1909287624,0.4029545485973358,9
2015,2015_tarov1907038195,2015_tarov1907093176,0.40083378553390503,10
2015,2015_tarov1907048913,2015_tarov1907106391,0.8698740005493164,1
2015,2015_tarov1907048913,2015_tarov1907095290,0.8543636202812195,2
2015,2015_tarov1907048913,2015_tarov1907127759,0.7887594103813171,3
2015,2015_tarov1907048913,2015_tarov1909325053,0.6923294067382812,4
2015,2015_tarov1907048913,2015_tarov1909329459,0.6618086695671082,5
2015,2015_tarov1907048913,2015_tarov1909213016,0.6456814408302307,6
2015,2015_tarov1907048913,2015_tarov1909309250,0.6385319828987122,7
2015,2015_tarov1907048913,2015_tarov1909398710,0.6364427804946899,8
2015,2015_tarov1907048913,2015_tarov1907088629,0.614134669303894,9
2015,2015_tarov1907048913,2015_tarov1907105487,0.6122872829437256,10
2015,2015_tarov1907051053,2015_tarov1909306859,0.89692223072052,1
2015,2015_tarov1907051053,2015_tarov1907124133,0.8739360570907593,2
2015,2015_tarov1907051053,2015_tarov1909292055,0.8594372868537903,3
2015,2015_tarov1907051053,2015_tarov1909306883,0.8455004692077637,4
2015,2015_tarov1907051053,2015_tarov1909100768,0.8233323097229004,5
2015,2015_tarov1907051053,2015_tarov1909238059,0.6550318598747253,6
2015,2015_tarov1907051053,2015_tarov1909306880,0.6376247406005859,7
2015,2015_tarov1907051053,2015_tarov1909281182,0.5968886613845825,8
2015,2015_tarov1907051053,2015_tarov1909199586,0.5912735462188721,9
2015,2015_tarov1907051053,2015_tarov1907134770,0.5904920697212219,10
2015,2015_tarov1907053289,2015_tarov1633120754,0.6441145539283752,1
2015,2015_tarov1907053289,2015_tarov1907102384,0.6430138945579529,2
2015,2015_tarov1907053289,2015_tarov1909210198,0.6401628851890564,3
2015,2015_tarov1907053289,2015_tarov1909284908,0.5515059232711792,4
2015,2015_tarov1907053289,2015_tarov1909242551,0.5340940356254578,5
2015,2015_tarov1907053289,2015_tarov1907132026,0.5162643790245056,6
2015,2015_tarov1907053289,2015_tarov1907100836,0.5049265623092651,7
2015,2015_tarov1907053289,2015_tarov1909299864,0.5019201636314392,8
2015,2015_tarov1907053289,2015_tarov1907126141,0.49289950728416443,9
2015,2015_tarov1907053289,2015_tarov1907108412,0.47614604234695435,10
2015,2015_tarov1907057954,2015_tarov1909273526,0.690481424331665,1
2015,2015_tarov1907057954,2015_tarov1907118363,0.6865482330322266,2
2015,2015_tarov1907057954,2015_tarov1907087007,0.6833972930908203,3
2015,2015_tarov1907057954,2015_tarov1909578169,0.6637845039367676,4
2015,2015_tarov1907057954,2015_tarov1907086161,0.6569644808769226,5
2015,2015_tarov1907057954,2015_tarov1907100548,0.6563297510147095,6
2015,2015_tarov1907057954,2015_tarov1907122946,0.6169435381889343,7
2015,2015_tarov1907057954,2015_tarov1907092251,0.6160659790039062,8
2015,2015_tarov1907057954,2015_tarov1907112816,0.5994635820388794,9
2015,2015_tarov1907057954,2015_tarov1907134045,0.5918048024177551,10
