year,source_target,neighbor_target,similarity_score,rank
2023,2023_tarov1941696423,2023_tarov2007139324,0.5487870573997498,1
2023,2023_tarov1941696423,2023_tarov2007183728,0.5446643829345703,2
2023,2023_tarov1941696423,2023_tarov2007128288,0.544623851776123,3
2023,2023_tarov1941696423,2023_tarov2007164793,0.5253888368606567,4
2023,2023_tarov1941696423,2023_tarov2007165796,0.5249661803245544,5
2023,2023_tarov1941696423,2023_tarov2007187972,0.5240404605865479,6
2023,2023_tarov1941696423,2023_tarov2007266000,0.5195382833480835,7
2023,2023_tarov1941696423,2023_tarov2007179063,0.4656919240951538,8
2023,2023_tarov1941696423,2023_tarov2007264530,0.4597606956958771,9
2023,2023_tarov1941696423,2023_tarov2007082114,0.43880829215049744,10
2023,2023_tarov1941702378,2023_tarov2007223098,0.69403475522995,1
2023,2023_tarov1941702378,2023_tarov2007154201,0.6870052218437195,2
2023,2023_tarov1941702378,2023_tarov2007081845,0.6852892637252808,3
2023,2023_tarov1941702378,2023_tarov2007142006,0.6605852246284485,4
2023,2023_tarov1941702378,2023_tarov2007142896,0.5819344520568848,5
2023,2023_tarov1941702378,2023_tarov2007351621,0.5479429960250854,6
2023,2023_tarov1941702378,2023_tarov2007116064,0.4670286178588867,7
2023,2023_tarov1941702378,2023_tarov2007116058,0.45690053701400757,8
2023,2023_tarov1941702378,2023_tarov2007116054,0.45631036162376404,9
2023,2023_tarov1941702378,2023_tarov2007247160,0.45552289485931396,10
2023,2023_tarov1941704614,2023_tarov2007185180,0.5447598695755005,1
2023,2023_tarov1941704614,2023_tarov2007393322,0.5207288265228271,2
2023,2023_tarov1941704614,2023_tarov2007194004,0.5091524720191956,3
2023,2023_tarov1941704614,2023_tarov2007146426,0.48069876432418823,4
2023,2023_tarov1941704614,2023_tarov2007385693,0.46061497926712036,5
2023,2023_tarov1941704614,2023_tarov2007303258,0.4597286283969879,6
2023,2023_tarov1941704614,2023_tarov2007105394,0.45396625995635986,7
2023,2023_tarov1941704614,2023_tarov2007135861,0.45112717151641846,8
2023,2023_tarov1941704614,2023_tarov2007371006,0.4510654807090759,9
2023,2023_tarov1941704614,2023_tarov2007180511,0.4313642084598541,10
2023,2023_tarov1941707588,2023_tarov2007386127,0.5018035769462585,1
2023,2023_tarov1941707588,2023_tarov2007372193,0.4902753531932831,2
2023,2023_tarov1941707588,2023_tarov2007117087,0.47248998284339905,3
2023,2023_tarov1941707588,2023_tarov2007451976,0.4691254198551178,4
2023,2023_tarov1941707588,2023_tarov2007145557,0.4623643755912781,5
2023,2023_tarov1941707588,2023_tarov2007158316,0.46018075942993164,6
2023,2023_tarov1941707588,2023_tarov2007291917,0.4586297571659088,7
2023,2023_tarov1941707588,2023_tarov2007266152,0.458441823720932,8
2023,2023_tarov1941707588,2023_tarov2007245152,0.45699524879455566,9
2023,2023_tarov1941707588,2023_tarov2007237360,0.45298632979393005,10
2023,2023_tarov1941709865,2023_tarov2007244677,0.42568865418434143,1
2023,2023_tarov1941709865,2023_tarov2007245216,0.42335453629493713,2
2023,2023_tarov1941709865,2023_tarov2007342106,0.41724395751953125,3
2023,2023_tarov1941709865,2023_tarov2007136812,0.4144775867462158,4
2023,2023_tarov1941709865,2023_tarov2007300862,0.40999963879585266,5
2023,2023_tarov1941709865,2023_tarov2007376599,0.40646037459373474,6
2023,2023_tarov1941709865,2023_tarov2007076201,0.4062676429748535,7
2023,2023_tarov1941709865,2023_tarov2007075808,0.40438127517700195,8
2023,2023_tarov1941709865,2023_tarov2007362418,0.39711999893188477,9
2023,2023_tarov1941709865,2023_tarov2007234167,0.3967452347278595,10
2023,2023_tarov1941711404,2023_tarov1941731954,0.45377108454704285,1
2023,2023_tarov1941711404,2023_tarov2007294986,0.44297513365745544,2
2023,2023_tarov1941711404,2023_tarov2007283665,0.4234013855457306,3
2023,2023_tarov1941711404,2023_tarov2007122561,0.4188632369041443,4
2023,2023_tarov1941711404,2023_tarov2007063730,0.41197243332862854,5
2023,2023_tarov1941711404,2023_tarov1941709865,0.3825794756412506,6
2023,2023_tarov1941711404,2023_tarov2007374705,0.3792050778865814,7
2023,2023_tarov1941711404,2023_tarov2007345435,0.3775274157524109,8
2023,2023_tarov1941711404,2023_tarov2007273803,0.37320855259895325,9
2023,2023_tarov1941711404,2023_tarov2007128638,0.3670247495174408,10
2023,2023_tarov1941719161,2023_tarov2007320834,0.7316601276397705,1
2023,2023_tarov1941719161,2023_tarov2007167636,0.6792502999305725,2
2023,2023_tarov1941719161,2023_tarov2007142131,0.6574692130088806,3
2023,2023_tarov1941719161,2023_tarov2007515845,0.6505327224731445,4
2023,2023_tarov1941719161,2023_tarov2007369926,0.6503326296806335,5
2023,2023_tarov1941719161,2023_tarov2007336102,0.6439562439918518,6
2023,2023_tarov1941719161,2023_tarov2007112761,0.6300618648529053,7
2023,2023_tarov1941719161,2023_tarov2007213221,0.6247375011444092,8
2023,2023_tarov1941719161,2023_tarov2007423296,0.6227130889892578,9
2023,2023_tarov1941719161,2023_tarov2007162645,0.5991811752319336,10
2023,2023_tarov1941731954,2023_tarov2007352956,0.5159534811973572,1
2023,2023_tarov1941731954,2023_tarov2007123519,0.5154880285263062,2
2023,2023_tarov1941731954,2023_tarov2007259935,0.5093082189559937,3
2023,2023_tarov1941731954,2023_tarov2007342106,0.4972589612007141,4
2023,2023_tarov1941731954,2023_tarov2007123935,0.49259987473487854,5
2023,2023_tarov1941731954,2023_tarov2007355213,0.48528483510017395,6
2023,2023_tarov1941731954,2023_tarov2007374705,0.47229066491127014,7
2023,2023_tarov1941731954,2023_tarov2007252954,0.4566460847854614,8
2023,2023_tarov1941731954,2023_tarov1941711404,0.45377108454704285,9
2023,2023_tarov1941731954,2023_tarov2007226189,0.45324522256851196,10
2023,2023_tarov1941743773,2023_tarov2007130857,0.7327076196670532,1
2023,2023_tarov1941743773,2023_tarov2007398274,0.7272335886955261,2
2023,2023_tarov1941743773,2023_tarov2007246491,0.7170195579528809,3
2023,2023_tarov1941743773,2023_tarov2007307391,0.7084416151046753,4
2023,2023_tarov1941743773,2023_tarov2007206638,0.6622470021247864,5
2023,2023_tarov1941743773,2023_tarov2007128343,0.5943707227706909,6
2023,2023_tarov1941743773,2023_tarov2007334323,0.5858054161071777,7
2023,2023_tarov1941743773,2023_tarov2007207395,0.5755265951156616,8
2023,2023_tarov1941743773,2023_tarov2007175394,0.5743503570556641,9
2023,2023_tarov1941743773,2023_tarov2007321633,0.5438576340675354,10
2023,2023_tarov1943165944,2023_tarov2007088980,0.6642195582389832,1
2023,2023_tarov1943165944,2023_tarov2007138406,0.5448217988014221,2
2023,2023_tarov1943165944,2023_tarov2007335945,0.5046249032020569,3
2023,2023_tarov1943165944,2023_tarov2007169803,0.5016929507255554,4
2023,2023_tarov1943165944,2023_tarov2007345979,0.4858238101005554,5
2023,2023_tarov1943165944,2023_tarov2007195399,0.4750012159347534,6
2023,2023_tarov1943165944,2023_tarov2007317060,0.4681357443332672,7
2023,2023_tarov1943165944,2023_tarov2007206662,0.4619618058204651,8
2023,2023_tarov1943165944,2023_tarov2007115091,0.44178780913352966,9
2023,2023_tarov1943165944,2023_tarov2007076785,0.44110870361328125,10
2023,2023_tarov1943284958,2023_tarov2007101727,0.9702844619750977,1
2023,2023_tarov1943284958,2023_tarov2007252283,0.9577246904373169,2
