year,source_target,neighbor_target,similarity_score,rank
1998,1998_tarov103993,1998_tarov92065,0.9950988292694092,1
1998,1998_tarov103993,1998_tarov104665,0.993482232093811,2
1998,1998_tarov103993,1998_tarov105969,0.9933030605316162,3
1998,1998_tarov103993,1998_tarov37395,0.9925143122673035,4
1998,1998_tarov103993,1998_tarov40392,0.9924054145812988,5
1998,1998_tarov103993,1998_tarov109393,0.9923616051673889,6
1998,1998_tarov103993,1998_tarov106487,0.9922333359718323,7
1998,1998_tarov103993,1998_tarov36724,0.9915132522583008,8
1998,1998_tarov103993,1998_tarov107355,0.9911461472511292,9
1998,1998_tarov103993,1998_tarov107235,0.9911419153213501,10
1998,1998_tarov104665,1998_tarov92057,0.994249701499939,1
1998,1998_tarov104665,1998_tarov109393,0.9938836693763733,2
1998,1998_tarov104665,1998_tarov103993,0.993482232093811,3
1998,1998_tarov104665,1998_tarov42214,0.9934744834899902,4
1998,1998_tarov104665,1998_tarov36377,0.9929917454719543,5
1998,1998_tarov104665,1998_tarov40392,0.9929898977279663,6
1998,1998_tarov104665,1998_tarov39762,0.9927152991294861,7
1998,1998_tarov104665,1998_tarov92065,0.9923716187477112,8
1998,1998_tarov104665,1998_tarov40411,0.9919740557670593,9
1998,1998_tarov104665,1998_tarov111364,0.9916577935218811,10
1998,1998_tarov104816,1998_tarov109486,0.9946730732917786,1
1998,1998_tarov104816,1998_tarov42214,0.9932479858398438,2
1998,1998_tarov104816,1998_tarov92057,0.9912711977958679,3
1998,1998_tarov104816,1998_tarov104665,0.9902113080024719,4
1998,1998_tarov104816,1998_tarov229192,0.9898239970207214,5
1998,1998_tarov104816,1998_tarov228665,0.9896689057350159,6
1998,1998_tarov104816,1998_tarov109045,0.9891679286956787,7
1998,1998_tarov104816,1998_tarov109393,0.9883062839508057,8
1998,1998_tarov104816,1998_tarov40411,0.987158477306366,9
1998,1998_tarov104816,1998_tarov111364,0.9869900941848755,10
1998,1998_tarov104990,1998_tarov89749,0.9971513152122498,1
1998,1998_tarov104990,1998_tarov47954,0.996565043926239,2
1998,1998_tarov104990,1998_tarov111364,0.9956034421920776,3
1998,1998_tarov104990,1998_tarov35003,0.9949990510940552,4
1998,1998_tarov104990,1998_tarov42214,0.989364504814148,5
1998,1998_tarov104990,1998_tarov104665,0.985051691532135,6
1998,1998_tarov104990,1998_tarov109486,0.9844105839729309,7
1998,1998_tarov104990,1998_tarov103993,0.9828016757965088,8
1998,1998_tarov104990,1998_tarov109393,0.9824130535125732,9
1998,1998_tarov104990,1998_tarov228665,0.9819771647453308,10
1998,1998_tarov105314,1998_tarov36724,0.9919973015785217,1
1998,1998_tarov105314,1998_tarov34719,0.9896855354309082,2
1998,1998_tarov105314,1998_tarov92065,0.9890234470367432,3
1998,1998_tarov105314,1998_tarov39343,0.9881300926208496,4
1998,1998_tarov105314,1998_tarov36474,0.987604558467865,5
1998,1998_tarov105314,1998_tarov111271,0.9875519871711731,6
1998,1998_tarov105314,1998_tarov103993,0.9868423342704773,7
1998,1998_tarov105314,1998_tarov107235,0.9851366281509399,8
1998,1998_tarov105314,1998_tarov105969,0.9849941730499268,9
1998,1998_tarov105314,1998_tarov39587,0.9842454195022583,10
1998,1998_tarov105660,1998_tarov89749,0.9976435303688049,1
1998,1998_tarov105660,1998_tarov111364,0.995957612991333,2
1998,1998_tarov105660,1998_tarov47954,0.995939314365387,3
1998,1998_tarov105660,1998_tarov35003,0.9952636957168579,4
1998,1998_tarov105660,1998_tarov42214,0.9901982545852661,5
1998,1998_tarov105660,1998_tarov109486,0.9870815277099609,6
1998,1998_tarov105660,1998_tarov104665,0.9865856170654297,7
1998,1998_tarov105660,1998_tarov39762,0.9846330881118774,8
1998,1998_tarov105660,1998_tarov109393,0.9843933582305908,9
1998,1998_tarov105660,1998_tarov106487,0.984313428401947,10
1998,1998_tarov105680,1998_tarov227853,0.9916468262672424,1
1998,1998_tarov105680,1998_tarov105684,0.990990161895752,2
1998,1998_tarov105680,1998_tarov110866,0.9591367244720459,3
1998,1998_tarov105680,1998_tarov163753,0.9590498208999634,4
1998,1998_tarov105680,1998_tarov39002,0.928055465221405,5
1998,1998_tarov105680,1998_tarov104816,0.9270514249801636,6
1998,1998_tarov105680,1998_tarov109045,0.9246605038642883,7
1998,1998_tarov105680,1998_tarov109486,0.9214658737182617,8
1998,1998_tarov105680,1998_tarov39762,0.9172272682189941,9
1998,1998_tarov105680,1998_tarov90357,0.9093981981277466,10
1998,1998_tarov105684,1998_tarov105691,0.9926490783691406,1
1998,1998_tarov105684,1998_tarov105680,0.990990161895752,2
1998,1998_tarov105684,1998_tarov110866,0.9806866645812988,3
1998,1998_tarov105684,1998_tarov163753,0.9778621792793274,4
1998,1998_tarov105684,1998_tarov104816,0.9588313698768616,5
1998,1998_tarov105684,1998_tarov39002,0.9558397531509399,6
1998,1998_tarov105684,1998_tarov109486,0.9555931091308594,7
1998,1998_tarov105684,1998_tarov109045,0.9539820551872253,8
1998,1998_tarov105684,1998_tarov39762,0.9524480700492859,9
1998,1998_tarov105684,1998_tarov229192,0.9444690346717834,10
1998,1998_tarov105691,1998_tarov227853,0.9935796856880188,1
1998,1998_tarov105691,1998_tarov105684,0.9926490783691406,2
1998,1998_tarov105691,1998_tarov110866,0.9661136269569397,3
