year,source_target,neighbor_target,similarity_score,rank
2009,2009_tarov1000006593,2009_tarov1601068872,0.47043952345848083,1
2009,2009_tarov1000006593,2009_tarov1601123233,0.4476882219314575,2
2009,2009_tarov1000006593,2009_tarov1601061129,0.445597380399704,3
2009,2009_tarov1000006593,2009_tarov1601083817,0.44537055492401123,4
2009,2009_tarov1000006593,2009_tarov1601080451,0.4414055645465851,5
2009,2009_tarov1000006593,2009_tarov1603022146,0.4390835165977478,6
2009,2009_tarov1000006593,2009_tarov1601080849,0.4336329400539398,7
2009,2009_tarov1000006593,2009_tarov1601111901,0.4296799898147583,8
2009,2009_tarov1000006593,2009_tarov1601143169,0.4275626838207245,9
2009,2009_tarov1000006593,2009_tarov1601140733,0.4219042956829071,10
2009,2009_tarov1601002759,2009_tarov1601074352,0.5571948289871216,1
2009,2009_tarov1601002759,2009_tarov1601114073,0.556496262550354,2
2009,2009_tarov1601002759,2009_tarov1601060657,0.5479128956794739,3
2009,2009_tarov1601002759,2009_tarov602447,0.5469457507133484,4
2009,2009_tarov1601002759,2009_tarov1601063907,0.5314944386482239,5
2009,2009_tarov1601002759,2009_tarov1601057645,0.5137556791305542,6
2009,2009_tarov1601002759,2009_tarov1601017485,0.49280068278312683,7
2009,2009_tarov1601002759,2009_tarov1603024008,0.49049466848373413,8
2009,2009_tarov1601002759,2009_tarov1601146647,0.4845499098300934,9
2009,2009_tarov1601002759,2009_tarov1603015518,0.48123687505722046,10
2009,2009_tarov1601008775,2009_tarov1601139128,0.900458574295044,1
2009,2009_tarov1601008775,2009_tarov1601137423,0.7756664156913757,2
2009,2009_tarov1601008775,2009_tarov1603032133,0.7103424668312073,3
2009,2009_tarov1601008775,2009_tarov1603042026,0.6853485107421875,4
2009,2009_tarov1601008775,2009_tarov1601092978,0.6813195943832397,5
2009,2009_tarov1601008775,2009_tarov1601137862,0.6168079376220703,6
2009,2009_tarov1601008775,2009_tarov1601119070,0.5828728675842285,7
2009,2009_tarov1601008775,2009_tarov1601108115,0.5766639709472656,8
2009,2009_tarov1601008775,2009_tarov1601137859,0.5510454177856445,9
2009,2009_tarov1601008775,2009_tarov1601054539,0.5383538603782654,10
2009,2009_tarov1601014453,2009_tarov1603031901,0.5693859457969666,1
2009,2009_tarov1601014453,2009_tarov1603030907,0.5247865915298462,2
2009,2009_tarov1601014453,2009_tarov1601136817,0.5063205361366272,3
2009,2009_tarov1601014453,2009_tarov1601106663,0.5048313736915588,4
2009,2009_tarov1601014453,2009_tarov1633087469,0.5038065910339355,5
2009,2009_tarov1601014453,2009_tarov1601147291,0.5023568868637085,6
2009,2009_tarov1601014453,2009_tarov1603032226,0.4999319314956665,7
2009,2009_tarov1601014453,2009_tarov1601043888,0.49985113739967346,8
2009,2009_tarov1601014453,2009_tarov1601062123,0.48102501034736633,9
2009,2009_tarov1601014453,2009_tarov1601108837,0.47882434725761414,10
2009,2009_tarov1601016622,2009_tarov1601138306,0.7005577683448792,1
2009,2009_tarov1601016622,2009_tarov1603044051,0.6220505833625793,2
2009,2009_tarov1601016622,2009_tarov1601211877,0.5859278440475464,3
2009,2009_tarov1601016622,2009_tarov1601084228,0.5830796957015991,4
