source,target,similarity
1999_tardes108175,1999_tardes53797,0.1098702100722622
1999_tardes108175,1999_tardes54989,0.13545709229571926
1999_tardes108175,1999_tardes91684,0.11564860273557115
1999_tardes134873,1999_tardes199359,0.43301270189221935
1999_tardes134873,1999_tardes259759,0.49999999999999994
1999_tardes134873,1999_tardes40918,0.4375
1999_tardes134873,1999_tardes41608,0.29417420270727607
1999_tardes134873,1999_tardes41825,0.5625
1999_tardes134873,1999_tardes41925,0.40089186286863654
1999_tardes134873,1999_tardes42578,0.4375
1999_tardes134873,1999_tardes42738,0.3093592167691145
1999_tardes134873,1999_tardes42761,0.43301270189221935
1999_tardes134873,1999_tardes43061,0.375
1999_tardes134873,1999_tardes43233,0.5051814855409226
1999_tardes134873,1999_tardes43433,0.7349684152591669
1999_tardes134873,1999_tardes43457,0.11180339887498948
1999_tardes134873,1999_tardes43754,0.4375
1999_tardes134873,1999_tardes43995,0.5773502691896258
1999_tardes134873,1999_tardes44842,0.43301270189221935
1999_tardes134873,1999_tardes45030,0.41247895569215276
1999_tardes134873,1999_tardes45031,0.41247895569215276
1999_tardes134873,1999_tardes45041,0.5345224838248487
1999_tardes134873,1999_tardes45100,0.4677071733467426
1999_tardes134873,1999_tardes45103,0.5773502691896258
1999_tardes134873,1999_tardes45530,0.3535533905932738
1999_tardes134873,1999_tardes46048,0.43301270189221935
1999_tardes134873,1999_tardes46244,0.43301270189221935
1999_tardes134873,1999_tardes46442,0.3731012536223182
1999_tardes134873,1999_tardes46564,0.43301270189221935
1999_tardes134873,1999_tardes46618,0.3535533905932738
1999_tardes134873,1999_tardes46768,0.6324555320336759
1999_tardes134873,1999_tardes47131,0.47434164902525694
1999_tardes134873,1999_tardes47170,0.4677071733467426
1999_tardes134873,1999_tardes47470,0.4677071733467426
1999_tardes134873,1999_tardes47661,0.40089186286863654
1999_tardes134873,1999_tardes48355,0.4677071733467426
1999_tardes134873,1999_tardes48821,0.4677071733467426
1999_tardes134873,1999_tardes48930,0.34299717028501764
1999_tardes134873,1999_tardes49018,0.43301270189221935
1999_tardes134873,1999_tardes49024,0.47434164902525694
1999_tardes134873,1999_tardes49281,0.4472135954999579
1999_tardes134873,1999_tardes49813,0.5393193716300062
1999_tardes134873,1999_tardes50003,0.4677071733467426
1999_tardes134873,1999_tardes50006,0.5051814855409226
1999_tardes134873,1999_tardes50307,0.40089186286863654
1999_tardes134873,1999_tardes50778,0.3572172541558802
1999_tardes134873,1999_tardes50786,0.4375
1999_tardes134873,1999_tardes51187,0.3195048252113469
1999_tardes134873,1999_tardes51653,0.47434164902525694
1999_tardes134873,1999_tardes52551,0.4677071733467426
1999_tardes134873,1999_tardes52577,0.4375
1999_tardes134873,1999_tardes52662,0.3195048252113469
1999_tardes134873,1999_tardes52741,0.4375
1999_tardes134873,1999_tardes53040,0.1
1999_tardes134873,1999_tardes53172,0.5773502691896258
1999_tardes134873,1999_tardes53354,0.4375
1999_tardes134873,1999_tardes53756,0.2672612419124244
1999_tardes134873,1999_tardes53797,0.11470786693528087
1999_tardes134873,1999_tardes53841,0.47434164902525694
1999_tardes134873,1999_tardes54036,0.47434164902525694
1999_tardes134873,1999_tardes54475,0.5197011503876875
1999_tardes134873,1999_tardes54989,0.17677669529663687
1999_tardes134873,1999_tardes55306,0.33071891388307384
1999_tardes134873,1999_tardes56162,0.43301270189221935
1999_tardes134873,1999_tardes60678,0.40089186286863654
1999_tardes134873,1999_tardes60718,0.3572172541558802
1999_tardes134873,1999_tardes60895,0.4472135954999579
1999_tardes134873,1999_tardes60953,0.4677071733467426
1999_tardes134873,1999_tardes60980,0.3195048252113469
1999_tardes134873,1999_tardes61056,0.3913118960624632
