source,target,similarity
1997_tardes103297,1997_tardes152760,0.11396057645963795
1997_tardes103334,1997_tardes135641,0.14824986333222026
1997_tardes103334,1997_tardes139939,0.2773500981126146
1997_tardes103334,1997_tardes142138,0.2773500981126146
1997_tardes103334,1997_tardes155001,0.16012815380508716
1997_tardes103558,1997_tardes133998,0.1091089451179962
1997_tardes103558,1997_tardes140829,0.22821773229381925
1997_tardes103558,1997_tardes140840,0.1091089451179962
1997_tardes103558,1997_tardes150973,0.1091089451179962
1997_tardes104017,1997_tardes107123,0.11396057645963795
1997_tardes104017,1997_tardes108366,0.10482848367219183
1997_tardes104017,1997_tardes136927,0.14285714285714282
1997_tardes104017,1997_tardes137115,0.11664236870396086
1997_tardes104017,1997_tardes138317,0.3779644730092272
1997_tardes104017,1997_tardes139634,0.10482848367219183
1997_tardes104017,1997_tardes142485,0.14285714285714282
1997_tardes104017,1997_tardes151810,0.1259881576697424
1997_tardes104017,1997_tardes151821,0.6416889479197478
1997_tardes104017,1997_tardes152760,0.14285714285714282
1997_tardes107121,1997_tardes109031,0.9999999999999997
1997_tardes107121,1997_tardes139100,0.6831300510639732
1997_tardes107121,1997_tardes139245,0.9999999999999997
1997_tardes107121,1997_tardes140458,0.9999999999999997
1997_tardes107121,1997_tardes141192,0.8819171036881966
1997_tardes107121,1997_tardes141566,0.9999999999999997
1997_tardes107121,1997_tardes142561,0.9999999999999997
1997_tardes107121,1997_tardes151298,0.3144854510165755
1997_tardes107121,1997_tardes152169,0.6831300510639732
1997_tardes107121,1997_tardes152431,0.1259881576697424
1997_tardes107121,1997_tardes158883,0.9999999999999997
1997_tardes107123,1997_tardes138317,0.20100756305184242
1997_tardes107123,1997_tardes142485,0.2279211529192759
1997_tardes107123,1997_tardes151810,0.10050378152592121
1997_tardes107123,1997_tardes152760,0.11396057645963795
1997_tardes107123,1997_tardes32339,0.15075567228888181
1997_tardes108366,1997_tardes138427,0.10482848367219183
1997_tardes108366,1997_tardes142485,0.10482848367219183
1997_tardes108366,1997_tardes152760,0.10482848367219183
1997_tardes109027,1997_tardes135641,0.17118419700436519
1997_tardes109027,1997_tardes146994,0.14153462926807445
1997_tardes109031,1997_tardes139100,0.6831300510639732
1997_tardes109031,1997_tardes139245,0.9999999999999997
1997_tardes109031,1997_tardes140458,0.9999999999999997
1997_tardes109031,1997_tardes141192,0.8819171036881966
1997_tardes109031,1997_tardes141566,0.9999999999999997
1997_tardes109031,1997_tardes142561,0.9999999999999997
1997_tardes109031,1997_tardes151298,0.3144854510165755
1997_tardes109031,1997_tardes152169,0.6831300510639732
1997_tardes109031,1997_tardes152431,0.1259881576697424
1997_tardes109031,1997_tardes158883,0.9999999999999997
1997_tardes112475,1997_tardes152431,0.1111111111111111
1997_tardes133998,1997_tardes140840,0.9999999999999997
1997_tardes133998,1997_tardes150973,0.9999999999999997
1997_tardes135641,1997_tardes142981,0.11145564251507058
1997_tardes135641,1997_tardes151835,0.10101525445522107
1997_tardes135641,1997_tardes155001,0.15430334996209194
1997_tardes135641,1997_tardes32217,0.14888750009563956
1997_tardes135641,1997_tardes32620,0.15430334996209194
1997_tardes136284,1997_tardes137216,0.2300894966542111
1997_tardes136284,1997_tardes142899,0.9999999999999999
1997_tardes136927,1997_tardes137319,0.22677868380553634
1997_tardes136927,1997_tardes138317,0.1259881576697424
1997_tardes136927,1997_tardes139634,0.10482848367219183
1997_tardes137115,1997_tardes152760,0.11664236870396086
1997_tardes137216,1997_tardes139990,0.12478354962115543
1997_tardes137216,1997_tardes141384,0.12478354962115543
1997_tardes137216,1997_tardes142899,0.2300894966542111
1997_tardes137216,1997_tardes143141,0.13750477455423168
1997_tardes137216,1997_tardes151810,0.17149858514250882
1997_tardes137216,1997_tardes152714,0.19802950859533486
1997_tardes137319,1997_tardes138317,0.13333333333333333
1997_tardes137319,1997_tardes139957,0.3741657386773941
1997_tardes137319,1997_tardes141625,0.3
1997_tardes137319,1997_tardes143141,0.3741657386773941
1997_tardes137319,1997_tardes31195,0.2514474228374849
1997_tardes137319,1997_tardes32059,0.23094010767585035
1997_tardes137319,1997_tardes32339,0.44999999999999996
1997_tardes137319,1997_tardes32476,0.19466570535691505
1997_tardes137319,1997_tardes32569,0.4041451884327381
1997_tardes137319,1997_tardes32578,0.3741657386773941
1997_tardes137319,1997_tardes32620,0.3464101615137755
1997_tardes137319,1997_tardes32642,0.32998316455372223
1997_tardes137319,1997_tardes33060,0.3
1997_tardes137319,1997_tardes34044,0.21380899352993954
1997_tardes137319,1997_tardes35863,0.2984810028978546
1997_tardes138317,1997_tardes142485,0.2519763153394848
1997_tardes138317,1997_tardes151810,0.1111111111111111
1997_tardes138317,1997_tardes151821,0.24253562503633294
1997_tardes138317,1997_tardes152425,0.1259881576697424
1997_tardes138317,1997_tardes152760,0.1259881576697424
1997_tardes138317,1997_tardes32339,0.16666666666666666
1997_tardes138515,1997_tardes139957,0.10101525445522107
1997_tardes138515,1997_tardes142485,0.14285714285714282
1997_tardes138515,1997_tardes143141,0.10101525445522107
1997_tardes138515,1997_tardes146994,0.13363062095621217
1997_tardes138515,1997_tardes151124,0.11952286093343936
1997_tardes138515,1997_tardes152714,0.2182178902359924
1997_tardes138515,1997_tardes157389,0.1259881576697424
1997_tardes138515,1997_tardes31407,0.1259881576697424
1997_tardes138515,1997_tardes32578,0.10101525445522107
1997_tardes139100,1997_tardes139245,0.6831300510639732
1997_tardes139100,1997_tardes140458,0.6831300510639732
1997_tardes139100,1997_tardes141192,0.6024640760767093
1997_tardes139100,1997_tardes141566,0.6831300510639732
1997_tardes139100,1997_tardes142561,0.6831300510639732
1997_tardes139100,1997_tardes151298,0.21483446221182984
1997_tardes139100,1997_tardes152169,0.5333333333333332
