source,target,similarity
2000_tardes102852,2000_tardes56212,0.11547005383792518
2000_tardes102852,2000_tardes56968,0.13333333333333333
2000_tardes102852,2000_tardes60094,0.11547005383792518
2000_tardes102852,2000_tardes69378,0.11547005383792518
2000_tardes102852,2000_tardes71633,0.11547005383792518
2000_tardes102852,2000_tardes72954,0.13333333333333333
2000_tardes102852,2000_tardes73218,0.11547005383792518
2000_tardes102852,2000_tardes74798,0.11547005383792518
2000_tardes102852,2000_tardes77400,0.17888543819998318
2000_tardes102852,2000_tardes77404,0.17888543819998318
2000_tardes102852,2000_tardes78282,0.10327955589886445
2000_tardes102852,2000_tardes80137,0.11547005383792518
2000_tardes102852,2000_tardes97402,0.1341640786499874
2000_tardes103907,2000_tardes109218,0.1702513061517497
2000_tardes103907,2000_tardes185073,0.1702513061517497
2000_tardes103907,2000_tardes185096,0.1702513061517497
2000_tardes103907,2000_tardes185374,0.1702513061517497
2000_tardes103907,2000_tardes185613,0.10640706634484355
2000_tardes103907,2000_tardes187207,0.1702513061517497
2000_tardes103907,2000_tardes187225,0.1702513061517497
2000_tardes103907,2000_tardes187238,0.1702513061517497
2000_tardes103907,2000_tardes188425,0.1702513061517497
2000_tardes103907,2000_tardes189038,0.10810968751610264
2000_tardes103907,2000_tardes189281,0.1702513061517497
2000_tardes103907,2000_tardes191736,0.1702513061517497
2000_tardes103907,2000_tardes193258,0.1702513061517497
2000_tardes103907,2000_tardes61357,0.11375393879832252
2000_tardes103907,2000_tardes66888,0.16151457061744967
2000_tardes103907,2000_tardes67157,0.10944168462342654
2000_tardes103907,2000_tardes91856,0.1702513061517497
2000_tardes103907,2000_tardes94155,0.1702513061517497
2000_tardes103907,2000_tardes95259,0.1702513061517497
2000_tardes103907,2000_tardes96791,0.1702513061517497
2000_tardes103907,2000_tardes97421,0.1702513061517497
2000_tardes103907,2000_tardes97928,0.1702513061517497
2000_tardes103907,2000_tardes98887,0.1702513061517497
2000_tardes106951,2000_tardes109218,0.20851441405707474
2000_tardes106951,2000_tardes109395,0.11928641587313164
2000_tardes106951,2000_tardes128336,0.11145564251507056
2000_tardes106951,2000_tardes140036,0.12862198484302892
2000_tardes106951,2000_tardes185073,0.20851441405707474
2000_tardes106951,2000_tardes185096,0.20851441405707474
2000_tardes106951,2000_tardes185374,0.20851441405707474
2000_tardes106951,2000_tardes185613,0.13032150878567172
2000_tardes106951,2000_tardes185657,0.17376201171422898
2000_tardes106951,2000_tardes186147,0.2528608687120868
2000_tardes106951,2000_tardes187160,0.11928641587313164
2000_tardes106951,2000_tardes187207,0.20851441405707474
2000_tardes106951,2000_tardes187225,0.20851441405707474
2000_tardes106951,2000_tardes187238,0.20851441405707474
2000_tardes106951,2000_tardes187416,0.11129352513105631
2000_tardes106951,2000_tardes188425,0.20851441405707474
2000_tardes106951,2000_tardes189281,0.20851441405707474
2000_tardes106951,2000_tardes191736,0.20851441405707474
2000_tardes106951,2000_tardes193258,0.20851441405707474
2000_tardes106951,2000_tardes202212,0.15371886547533642
2000_tardes106951,2000_tardes251610,0.17700260809846075
2000_tardes106951,2000_tardes326723,0.15371886547533642
2000_tardes106951,2000_tardes390775,0.10425720702853739
2000_tardes106951,2000_tardes57325,0.14457873299156007
2000_tardes106951,2000_tardes59424,0.11997845478343568
2000_tardes106951,2000_tardes60133,0.17025130615174974
2000_tardes106951,2000_tardes60422,0.11261065411536272
