source,target,similarity
1998_tardes103993,1998_tardes104665,0.9999999999999997
1998_tardes103993,1998_tardes105969,0.9999999999999997
1998_tardes103993,1998_tardes107235,0.9999999999999997
1998_tardes103993,1998_tardes107620,0.9999999999999997
1998_tardes103993,1998_tardes107968,0.9999999999999997
1998_tardes103993,1998_tardes109439,0.1091089451179962
1998_tardes103993,1998_tardes109486,0.9999999999999997
1998_tardes103993,1998_tardes111271,0.9999999999999997
1998_tardes103993,1998_tardes163753,0.9999999999999997
1998_tardes104665,1998_tardes105969,0.9999999999999997
1998_tardes104665,1998_tardes107235,0.9999999999999997
1998_tardes104665,1998_tardes107620,0.9999999999999997
1998_tardes104665,1998_tardes107968,0.9999999999999997
1998_tardes104665,1998_tardes109439,0.1091089451179962
1998_tardes104665,1998_tardes109486,0.9999999999999997
1998_tardes104665,1998_tardes111271,0.9999999999999997
1998_tardes104665,1998_tardes163753,0.9999999999999997
1998_tardes104990,1998_tardes108346,0.10050378152592121
1998_tardes104990,1998_tardes163557,0.10540925533894598
1998_tardes105660,1998_tardes111352,0.3779644730092272
1998_tardes105680,1998_tardes105684,0.9999999999999997
1998_tardes105680,1998_tardes105691,0.9999999999999997
1998_tardes105680,1998_tardes110623,0.11396057645963795
1998_tardes105680,1998_tardes110763,0.14285714285714282
1998_tardes105680,1998_tardes182693,0.2182178902359924
1998_tardes105680,1998_tardes227853,0.9999999999999997
1998_tardes105680,1998_tardes39762,0.13363062095621217
1998_tardes105680,1998_tardes66794,0.10482848367219183
1998_tardes105684,1998_tardes105691,0.9999999999999997
1998_tardes105684,1998_tardes110623,0.11396057645963795
1998_tardes105684,1998_tardes110763,0.14285714285714282
1998_tardes105684,1998_tardes182693,0.2182178902359924
1998_tardes105684,1998_tardes227853,0.9999999999999997
1998_tardes105684,1998_tardes39762,0.13363062095621217
1998_tardes105684,1998_tardes66794,0.10482848367219183
1998_tardes105691,1998_tardes110623,0.11396057645963795
1998_tardes105691,1998_tardes110763,0.14285714285714282
1998_tardes105691,1998_tardes182693,0.2182178902359924
1998_tardes105691,1998_tardes227853,0.9999999999999997
